site,date_collected,bromeliad_id_old,genus,distance_from_ground_cm,height_mm,width_mm,actual_volume_mL,water_holding_capacity_mL,longest_leaf_length_mm
brasso_seco,04/10/2022,B75,vriesea_guzmania,,11,70,10,60,
brasso_seco,04/10/2022,B76,vriesea_guzmania,,19,102,10,170,
brasso_seco,04/10/2022,B77,guzmania,,18,86,5,40,
brasso_seco,04/10/2022,B78,guzmania,,15,50,5,100,
brasso_seco,04/10/2022,B79,vriesea_guzmania,,,,220,,
brasso_seco,04/10/2022,B79_a,aechmea,,29,34,,200,
brasso_seco,04/10/2022,B79_b,aechmea,,34,40,,240,
brasso_seco,04/10/2022,B79_c,guzmania,,12,72,,50,
brasso_seco,04/10/2022,B80,vriesea_guzmania,,,,80,,
brasso_seco,04/10/2022,B80_a,guzmania,,8,45,,30,
brasso_seco,04/10/2022,B80_b,vriesea_guzmania,,13,35,,50,
brasso_seco,04/10/2022,B81,guzmania,,10,56,40,60,
brasso_seco,04/10/2022,B82,guzmania,,11,87,10,100,
brasso_seco,04/10/2022,B83,vriesea_guzmania,,17,72,60,160,
brasso_seco,04/10/2022,B84,guzmania,,13,43,10,30,
brasso_seco,04/10/2022,B85,guzmania,,15,62,15,50,
arima_valley,05/10/2022,B86,vriesea,,18,60,100,250,
arima_valley,05/10/2022,B87,vriesea,,20,72,10,30,
arima_valley,05/10/2022,B88,vriesea,,32,107,70,240,
arima_valley,05/10/2022,B89,vriesea,,30,170,40,200,
arima_valley,05/10/2022,B90,vriesea,,,,40,,89
arima_valley,05/10/2022,B91,vriesea,,,,80,,
arima_valley,05/10/2022,B91_a,vriesea,,11,82,,30,
arima_valley,05/10/2022,B91_b,vriesea,,20,115,,80,
arima_valley,05/10/2022,B92,vriesea,,,,10,,
arima_valley,05/10/2022,B92_a,vriesea,,19,109,,300,
arima_valley,05/10/2022,B92_b,vriesea,,5,40,,190,
brasso_seco,12/10/2022,B93,vriesea,,23,176,60,200,
arima_valley,24/10/2022,B94,aechmea,239.3,16,77.6,140,210,
brasso_seco,12/10/2022,B95,guzmania,131.3,12.5,97,40,60,
brasso_seco,12/10/2022,B96,guzmania,231.5,12.5,76.6,110,140,
brasso_seco,12/10/2022,B97,guzmania,132.6,11.9,84.3,90,130,
brasso_seco,12/10/2022,B98,guzmania,128.8,14.3,91.1,100,130,
brasso_seco,12/10/2022,B99,guzmania,126.5,11.5,96.5,120,120,
brasso_seco,12/10/2022,B100,guzmania,129,14.5,54.7,110,110,
brasso_seco,12/10/2022,B101,guzmania,183.2,13.8,45.3,90,120,
brasso_seco,12/10/2022,B102,guzmania,96.5,14.5,65.9,100,110,
brasso_seco,12/10/2022,B103,guzmania,107.6,12,67.3,100,150,
brasso_seco,12/10/2022,B104,guzmania,161.2,13.5,56.3,140,100,
brasso_seco,12/10/2022,B105,guzmania,182.2,21.7,86.8,250,350,
arima_valley,24/10/2022,B106,aechmea,247,22,99.3,180,350,
arima_valley,24/10/2022,B107,guzmania,271.1,11,47.5,40,110,
la_laja,25/10/2022,B108,vriesea,15,32.9,100,430,700,
la_laja,25/10/2022,B109,guzmania,128.6,12,44.5,50,160,
la_laja,25/10/2022,B110,vriesea,186.2,,,230,,
la_laja,25/10/2022,B110_a,vriesea,186.2,15.2,66.1,,410,
la_laja,25/10/2022,B110_b,vriesea,186.2,12.8,52.6,,250,
la_laja,25/10/2022,B111,guzmania,275.6,12.5,50.8,170,160,
la_laja,25/10/2022,B112,guzmania,184.4,14.5,56.2,180,340,
la_laja,25/10/2022,B113,guzmania,366.2,15.5,59.3,60,360,
la_laja,25/10/2022,B114,guzmania,261.3,11,55.2,40,160,
la_laja,25/10/2022,B115,guzmania,143,15.2,65.1,20,160,
la_laja,25/10/2022,B116,guzmania,179.9,13.5,89.9,0,80,
la_laja,25/10/2022,B117,guzmania,172.5,13.6,94.1,40,90,
